id_reclamacao;id_cliente;tipo_cliente;id_produto;nome_produto;descricao_produto;categoria_produto;preco;vendedor;tipo_vendedor;avaliacao_produto;data_compra;data_abertura;texto_reclamacao;categoria_informada_cliente;tags_sistema;classe
R00064;C0077;padrao;P020;Manual de fotografia digital;Manual com 300 páginas e exercícios por capítulo;livro;97,86;Comercial Andrade;vendedor;4,0;2026-02-02;2026-02-14;Comprei o Manual de fotografia digital e, logo depois, recebi uma mensagem em nome do vendedor solicitando os dados completos do meu cartão de crédito sob pretexto de confirmar o pedido. Não forneci nenhuma informação e venho registrar aqui esse contato suspeito para alertar outros compradores.;fraude_vendedor;urgente|anuncio|produto;fraude_vendedor
R00077;C0104;padrao;P010;Headset gamer HX-70;Headset com microfone destacável e som posicional;game;173,34;Comercial Andrade;vendedor;3,8;2026-03-24;2026-04-24;Boa tarde. Efetuei o pagamento de R$ 173,34 pelo Headset gamer HX-70 e, desde então, não recebi o produto nem qualquer resposta do vendedor. Observo que a conta utilizada para a venda foi criada há poucas semanas e apresentava anúncios com preços muito abaixo do mercado. Solicito que a plataforma investigue a situação. Aguardo retorno.;entrega;anuncio|pedido|atendimento;fraude_vendedor
R00141;C0101;premium;P016;Romance A Casa dos Ventos;Romance, 384 páginas, capa comum;livro;48,78;Livraria Página Dez Oficial;loja_oficial;3,6;2026-07-12;2026-07-22;O anúncio do Romance A Casa dos Ventos, vendido pela Página Dez, exibe na terceira foto um brinde que está fora das categorias de produtos aceitos nesta plataforma. Solicito que a equipe responsável analise o anúncio em questão.;outros;pedido|urgente;artigo_proibido
R00199;C0009;padrao;P024;Kit pincéis de maquiagem 12 peças;Kit com 12 pincéis e estojo de viagem;maquiagem;106,47;Armazém 21;vendedor;2,6;2026-05-23;2026-06-27;Prezados, O cupom de primeira compra estava indicado como válido na etapa do carrinho, porém o desconto não foi descontado no valor final cobrado pelo Kit pincéis de maquiagem 12 peças. Solicito a devolução da diferença referente ao desconto não aplicado. Aguardo retorno. A central de ajuda não responde essa dúvida.;divergente_defeito;ajuda|problema;outros
R00081;C0090;premium;P009;Controle sem fio GamePro X;Controle bluetooth com vibração, compatível com PC e celular;game;132,45;Estoque Livre;vendedor;2,8;2026-03-25;2026-05-12;Realizei a compra do controle e acompanhei o envio normalmente até a chegada dentro do prazo previsto. Ao abrir a embalagem, encontrei apenas um objeto colocado ali para simular peso, enquanto o item adquirido não estava presente. O vendedor Estoque Livre enviou o pacote nessas condições, e espero que a plataforma tome as medidas cabíveis diante do ocorrido. Aguardo retorno.;divergente_defeito;produto|compra|garantia;fraude_vendedor
R00070;C0060;padrao;P005;Pelúcia dinossauro Rex 40 cm;Pelúcia antialérgica com enchimento siliconado;brinquedo;77,86;Estoque Livre;vendedor;3,4;2026-08-22;2026-10-20;Olá, tudo bem? O vendedor Estoque Livre entregou intencionalmente um produto diferente do anunciado. adquiri a **Pelúcia dinossauro Rex 40 cm**, porém recebi um item sem qualquer relação com o anúncio. Além de substituir o produto de forma deliberada, o vendedor exigiu pagamento adicional fora da plataforma, desapareceu após receber os valores e tentou obter dados pessoais meus durante o contato, conduta que evidencia uma ação premeditada para causar prejuízo ao consumidor.;entrega;anuncio|problema|pedido|produto;fraude_vendedor
R00080;C0120;premium;P015;Box trilogia O Reino Partido;Box com os três volumes da trilogia, capa dura;livro;184,34;Central das Marcas;vendedor;4,5;2026-01-14;2026-01-20;Boa tarde. O vendedor Central das Marcas entregou intencionalmente um objeto sem relação com o produto adquirido, o Box trilogia O Reino Partido, com o aparente propósito de registrar uma entrega fictícia no sistema. Além disso, o vendedor exigiu pagamento adicional fora da plataforma, desapareceu após receber os valores e tentou obter dados pessoais do comprador durante o contato. Tais ações configuram conduta deliberadamente enganosa e lesiva ao consumidor, não se tratando de mero equívoco operacional. Solicito a imediata intervenção da plataforma para apuração dos fatos e restituição dos valores pagos.;fraude_vendedor;reembolso|pedido|problema|produto;fraude_vendedor
R00165;C0118;padrao;P010;Headset gamer HX-70;Headset com microfone destacável e som posicional;game;190,62;Vitrine Norte;vendedor;2,7;2026-04-26;2026-05-02;Comprei o Headset gamer HX-70 por R$ 190,62 no cartão de crédito e, ao cancelar o pedido, a plataforma me ofereceu um cupom no lugar do valor pago. O dinheiro foi debitado no meu cartão e é no cartão que preciso receber o crédito de volta, não aceito cupom como solução. E o atendimento do chat demorou dias para responder, fica a reclamação junto.;devolucao_ressarcimento;frete|produto|atendimento|urgente;devolucao_ressarcimento
R00147;C0030;padrao;P011;Teclado mecânico K-500;Teclado mecânico ABNT2 com iluminação configurável;game;301,82;Estoque Livre;vendedor;3,5;2026-07-21;2026-08-04;O anúncio do teclado publicado pelo vendedor Estoque Livre está sendo utilizado de forma enganosa, uma vez que, nas respostas às perguntas dos compradores, o vendedor oferece abertamente um item que viola as políticas da plataforma.;falsificado;produto|atendimento|urgente;artigo_proibido
R00161;C0111;padrao;P010;Headset gamer HX-70;Headset com microfone destacável e som posicional;game;286,98;Estoque Livre;vendedor;4,1;2026-04-03;2026-05-03;Adquiri o Headset gamer HX-70 há 30 dias e o produto não correspondeu ao que eu precisava. Gostaria de entender os passos para retornar o item ao vendedor e ter o montante pago reembolsado.;entrega;ajuda|pedido|compra;devolucao_ressarcimento
R00009;C0113;padrao;P020;Manual de fotografia digital;Manual com 300 páginas e exercícios por capítulo;livro;106,27;Livraria Página Dez Oficial;loja_oficial;3,8;2026-03-09;2026-03-17;Fiz o pedido de dois volumes e, quando o pacote chegou, havia apenas um deles dentro da embalagem. O volume que contém o Manual de fotografia digital não estava presente e, ao consultar o código de rastreamento, não encontrei nenhum registro de movimentação referente a ele. Entrei em contato com a Página Dez, que me informou que os dois volumes teriam sido despachados juntos na mesma remessa. Diante disso, comecei a verificar o que seria necessário para solicitar reembolso caso o problema não fosse resolvido, mas prefiro antes aguardar uma resposta concreta. Tentei também localizar no site da loja o prazo de entrega aplicável à minha cidade, mas não encontrei essa informação em nenhuma parte da política de entregas disponível.;devolucao_ressarcimento;problema|atendimento|compra;entrega
R00190;C0093;padrao;P014;Volante com pedais RaceOne;Volante de 900 graus com pedais e câmbio borboleta;game;890,04;Vitrine Norte;vendedor;2,6;2026-05-22;2026-06-12;Adquiri o volante junto com um plano de garantia estendida pela loja Vitrine Norte, porém estou tendo dificuldade em obter um contato formal para tratar desse serviço, já que o suporte pelo aplicativo retorna apenas respostas automáticas. Aguardo retorno.;outros;pagamento|produto|pedido;outros
R00078;C0116;padrao;P020;Manual de fotografia digital;Manual com 300 páginas e exercícios por capítulo;livro;107,62;Estoque Livre;vendedor;4,7;2026-04-12;2026-05-28;Prezados, Recebi um e-mail não autorizado se passando pela plataforma, contendo um link de pagamento vinculado ao meu pedido do Manual de fotografia digital. Acredito que o vendedor Estoque Livre pode ter compartilhado ou exposto meus dados pessoais da compra, possibilitando que terceiros me contactassem com essa mensagem falsa. Obrigado pela atenção.;fraude_vendedor;frete|pedido|ajuda|compra;fraude_vendedor
R00082;C0007;padrao;P019;Livro infantil O Sapo Azul;Livro ilustrado para primeiros leitores, 48 páginas;livro;29,94;Importados do Sul;vendedor;4,3;2026-04-14;2026-05-27;Realizei uma compra na plataforma e, durante o processo, o vendedor Importados do Sul entrou em contato solicitando uma transferência bancária direta, fora do ambiente do marketplace, como condição para que o livro fosse despachado. Efetuei o pagamento original normalmente pelo site. Depois que o pedido de transferência adicional chegou, tentei responder e iniciar uma conversa, mas as mensagens seguintes ficaram sem resposta. O anúncio permanece ativo e visível para qualquer comprador. Desde então não obtive nenhum retorno, nem do vendedor nem da plataforma. O blog do marketplace traz orientações sobre como comprar com segurança, mas não esclarece o que acontece com os valores pagos quando situações como esta ocorrem.;fraude_vendedor;pedido|produto|reembolso;fraude_vendedor
R00114;C0043;padrao;P025;Máscara de cílios volume intenso;Máscara de cílios à prova d'água;maquiagem;38,42;Loja do Edu;vendedor;2,9;2026-05-19;2026-07-07;Produto suspeito de ser falsificado. Ao comparar a Máscara de cílios volume intenso com um item original, notei diferenças claras no material e no peso. Vender réplica como produto original é crime, e o anúncio continua no ar. Solicito providências.;fraude_vendedor;urgente|produto|problema;falsificado
R00008;C0034;padrao;P007;Patinete infantil dobrável;Patinete de 3 rodas com altura ajustável, até 50 kg;brinquedo;145,59;ToyMundo Oficial;loja_oficial;4,2;2026-03-12;2026-03-19;Adquiri o Patinete infantil dobrável com antecedência de duas semanas em relação à data do aniversário, porém o produto não estava em mãos quando a ocasião chegou e o pedido permanece sem movimentação até o momento. Aguardo retorno sobre a situação.;fraude_vendedor;atendimento|pedido;entrega
R00183;C0104;padrao;P031;Mochila executiva impermeável;Mochila para notebook de até 15,6 polegadas, com saída USB;outros;119,08;Bazar da Serra;vendedor;4,9;2026-03-11;2026-04-28;Bom dia. Gostaria de saber se a mochila funciona em bivolt, pois o anúncio não traz essa informação e o vendedor Bazar não retorna as perguntas feitas.;outros;garantia|problema|produto;outros
R00128;C0068;premium;P032;Garrafa térmica Inox 1 litro;Garrafa de aço inox, conserva por 12 horas;outros;70,04;MegaOfertas SP;vendedor;2,7;2026-01-27;2026-03-25;já reportei esse anúncio uma vez e ele voltou normalzinho, tão vendendo um item que nao deveria estar junto com a garrafa térmica inox 1 litro ali no anúncio. é a segunda vez que reporto isso;artigo_proibido;produto|ajuda|pagamento;artigo_proibido
R00133;C0019;padrao;P021;Paleta de sombras 18 cores Sunset;Paleta com 18 tons matte e cintilantes;maquiagem;60,10;BelezaViva Oficial;loja_oficial;3,5;2026-07-03;2026-07-25;esse anuncio tá incluindo produto proibido junto com a paleta de sombras 18 cores sunset, cuidado galera. alguem precisa verificar isso ai antes que mais gente seja enganada;artigo_proibido;atendimento|pedido;artigo_proibido
R00125;C0095;premium;P001;Boneca de pano Amélia;Boneca artesanal de pano com vestido removível, 35 cm;brinquedo;57,47;ToyMundo Oficial;loja_oficial;3,8;2026-02-24;2026-04-16;Fiz uma compra no marketplace há alguns dias e o pedido chegou dentro do prazo. Ao abrir a embalagem, além do produto principal, havia um item adicional que acompanhava o conjunto. Consultei as diretrizes da plataforma para entender se aquele tipo de item pode circular por aqui, mas não encontrei essa informação listada em lugar nenhum no site. Depois de uma pesquisa fora da plataforma, descobri que o item em questão se enquadra em uma categoria que não pode ser comercializada legalmente. O anúncio original apresentava esse adicional como parte da oferta, o que coloca a publicação em uma situação irregular. Gostaria que a plataforma verificasse esse caso.;outros;problema|compra|atendimento;artigo_proibido
R00138;C0116;padrao;P027;Escada de alumínio 5 degraus;Escada dobrável de alumínio, capacidade de 120 kg;outros;209,41;Casa & Cia Oficial;loja_oficial;3,6;2026-04-19;2026-05-25;segunda vez que denuncio esse anuncio e nada muda, continuam vendendo item proibido junto com a escada de alumínio 5 degraus. denunciei uma vez ja e o anuncio voltou normalmente;artigo_proibido;frete|compra|problema|ajuda;artigo_proibido
R00193;C0053;padrao;P007;Patinete infantil dobrável;Patinete de 3 rodas com altura ajustável, até 50 kg;brinquedo;146,71;Vitrine Norte;vendedor;3,5;2026-04-18;2026-04-24;o patinete infantil dobrável é bivolt ou não?? tô tentando descobrir isso faz dias e o vendedor vitrine norte simplesmente ignora as perguntas, no anúncio também nao tem essa informação em lugar nenhum;outros;pedido|atendimento|urgente|garantia;outros
R00085;C0107;premium;P023;Batom matte vermelho cereja;Batom de longa duração, acabamento matte;maquiagem;35,38;Armazém 21;vendedor;2,6;2026-08-23;2026-09-25;A compra do **Batom matte vermelho cereja** junto ao vendedor Armazém foi unilateralmente cancelada sob alegação de falta de estoque, contudo, no mesmo dia do cancelamento, o produto foi relistado na plataforma com preço superior ao valor originalmente cobrado, o que evidencia que o cancelamento não decorreu de indisponibilidade real do item, mas de recusa deliberada em honrar a transação já concluída a fim de extrair pagamento adicional do consumidor. Diante da conduta intencional do vendedor, solicito que a plataforma instaure apuração formal do ocorrido e adote as medidas cabíveis.;fraude_vendedor;produto|urgente;fraude_vendedor
R00094;C0020;premium;P004;Blocos de montar Cidade 350 peças;Kit de blocos plásticos compatíveis com as principais marcas;brinquedo;147,20;Vitrine Norte;vendedor;4,0;2026-05-06;2026-05-19;Adquiri os Blocos de montar Cidade 350 peças e, ao comparar com um produto original, ficou claro que o material e o peso são diferentes. Trata-se de uma réplica comercializada como produto original, o que configura prática ilegal, e o anúncio ainda permanece ativo na plataforma.;divergente_defeito;anuncio|compra|atendimento|produto;falsificado
R00038;C0061;padrao;P028;Cafeteira elétrica Aroma 30 xícaras;Cafeteira com jarra de vidro e desligamento automático;outros;162,48;Importados do Sul;vendedor;4,2;2026-06-14;2026-07-08;Recebi a Cafeteira elétrica Aroma 30 xícaras com arranhões na superfície, embalagem aberta e reselada com fita adesiva, sendo que o produto foi anunciado como novo.;divergente_defeito;ajuda|anuncio|problema;divergente_defeito
R00163;C0064;padrao;P016;Romance A Casa dos Ventos;Romance, 384 páginas, capa comum;livro;53,85;Livraria Página Dez Oficial;loja_oficial;4,4;2026-02-17;2026-03-19;paguei r$ 53,85 pelo romance a casa dos ventos e o valor que voltou pra minha conta foi menor do que isso, tá faltando dinheiro e ninguém consegue me explicar por que tem essa diferença. preciso que mandem o restante que ficou faltando;divergente_defeito;atendimento|pedido|cadastro;devolucao_ressarcimento
R00087;C0096;padrao;P024;Kit pincéis de maquiagem 12 peças;Kit com 12 pincéis e estojo de viagem;maquiagem;79,59;Ponto Baixo Preço;vendedor;2,7;2026-08-13;2026-09-06;Comprei o Kit pincéis de maquiagem 12 peças por R$ 79,59 e o vendedor Ponto Baixo desapareceu após a compra. Percebi que a conta dele foi criada há poucas semanas e só possui anúncios com preços muito abaixo do mercado, o que é bastante suspeito. Parece claramente uma conta falsa criada para aplicar golpes.;fraude_vendedor;compra|atendimento|ajuda;fraude_vendedor
R00192;C0012;padrao;P020;Manual de fotografia digital;Manual com 300 páginas e exercícios por capítulo;livro;100,40;Loja do Edu;vendedor;2,9;2026-07-06;2026-08-01;Comprei o Manual de fotografia digital e não recebi a nota fiscal no e-mail cadastrado. Necessito do documento para fins de seguro. Alguém pode me orientar sobre como solicitar a segunda via? Fico no aguardo. A central de ajuda não responde essa dúvida.;divergente_defeito;compra|produto|garantia|pedido;outros
R00120;C0107;premium;P026;Delineador líquido preto;Delineador de ponta fina, secagem rápida;maquiagem;29,58;Bazar da Serra;vendedor;4,8;2026-01-25;2026-01-29;Comprei o delineador e fiquei muito insatisfeita com o que recebi. As fotos do anúncio mostram o produto original da marca, porém o item entregue é claramente diferente, de qualidade inferior. Trata-se de uma falsificação sendo vendida como produto legítimo. Aguardo retorno.;falsificado;problema|atendimento|devolucao|pedido;falsificado
R00029;C0073;padrao;P006;Jogo de tabuleiro Ilha do Tesouro;Jogo de estratégia para 2 a 6 jogadores, a partir de 8 anos;brinquedo;121,31;Estoque Livre;vendedor;3,8;2026-07-11;2026-07-16;Adquiri o Jogo de tabuleiro Ilha do Tesouro pelo vendedor Estoque Livre, porém recebi apenas um dos dois volumes do pedido. O volume que contém o jogo em si nunca chegou às minhas mãos e sequer consta qualquer registro de movimentação dele. O vendedor afirma ter enviado os dois volumes simultaneamente. Desde já agradeço.;devolucao_ressarcimento;compra|problema|cadastro|urgente;entrega
R00032;C0111;padrao;P012;Mouse gamer Vortex 12000 dpi;Mouse com sensor óptico de 12000 dpi e 7 botões;game;185,55;GameStation Oficial;loja_oficial;2,8;2026-08-04;2026-09-28;Comprei o Mouse gamer Vortex 12000 dpi e o produto apresentou defeito já no primeiro dia de uso, com a costura se desfazendo. Entrei em contato com o vendedor GameStation há mais de uma semana solicitando a troca, porém não recebi nenhuma resposta até o momento. Registro ainda que a entrega atrasou uma semana além do prometido.;divergente_defeito;atendimento|pagamento|produto|ajuda;divergente_defeito
R00113;C0087;padrao;P022;Base líquida tom 230;Base líquida de cobertura média, 30 ml;maquiagem;78,54;Comercial Andrade;vendedor;2,5;2026-04-06;2026-05-18;recebi a base líquida tom 230 semana passada e logo que abri a caixa senti um cheiro forte de plástico que não dava pra ignorar. fui olhar a embalagem com mais calma e percebi que o nome da marca estava escrito errado, diferente do que aparecia no anúncio. tentei usar o produto mas o cheiro continuava intenso e a textura não parecia com nada que eu já tivesse comprado dessa linha antes. registrei tudo com fotos no mesmo dia e entrei em contato com o vendedor comercial andrade sem obter resposta satisfatória. estou formalizando aqui o ocorrido para que a plataforma tome as providências cabíveis.;fraude_vendedor;ajuda|produto|pedido|garantia;falsificado
R00101;C0010;premium;P013;Cadeira gamer ErgoMax;Cadeira reclinável com apoio lombar, até 120 kg;game;880,26;Loja do Edu;vendedor;4,4;2026-07-17;2026-08-17;A Cadeira gamer ErgoMax chegou com embalagem diferente da que aparecia no anúncio e sem o selo de garantia do fabricante. Ao examinar o item, notei que o acabamento não corresponde ao padrão esperado da marca. O vendedor Edu publicou especificações que não batem com o que foi entregue, e o conjunto desses elementos aponta para uma origem distinta da declarada. Aguardo retorno.;divergente_defeito;produto|pedido|devolucao;falsificado
R00004;C0104;padrao;P030;Luminária de mesa articulada;Luminária LED com braço articulado e três tons de luz;outros;86,49;Estoque Livre;vendedor;2,9;2026-02-02;2026-02-27;Comprei a Luminária de mesa articulada pelo vendedor Estoque Livre, porém o produto foi devolvido à origem após três tentativas de contato no local sem que o interfone fosse acionado. O item retornou ao vendedor e segue sem ser recebido por mim. Solicito também o reembolso do valor do frete pago, uma vez que o serviço contratado não foi concluído.;devolucao_ressarcimento;garantia|problema|pedido;entrega
R00054;C0059;premium;P016;Romance A Casa dos Ventos;Romance, 384 páginas, capa comum;livro;65,62;Livraria Página Dez Oficial;loja_oficial;4,8;2026-06-22;2026-08-11;Prezados, Comprei o Romance A Casa dos Ventos e após três dias de uso o botão principal afundou e o produto parou de funcionar. O item ainda está dentro do prazo de garantia e solicito a substituição. Vi que existe uma tabela de garantia mas não descobri o prazo da minha categoria.;divergente_defeito;pedido|urgente|frete;divergente_defeito
R00065;C0015;padrao;P027;Escada de alumínio 5 degraus;Escada dobrável de alumínio, capacidade de 120 kg;outros;194,51;Vitrine Norte;vendedor;3,0;2026-06-14;2026-06-24;O vendedor Vitrine cancelou minha compra da escada sob a justificativa de falta de estoque, porém o mesmo produto foi relistado no anúncio no mesmo dia, desta vez com preço superior ao que eu havia pago. Solicito que a plataforma investigue essa conduta e providencie uma resolução com urgência. O blog de vocês fala de compra segura mas não diz o que acontece com o pagamento nesses casos.;entrega;problema|pedido|produto;fraude_vendedor
R00104;C0077;padrao;P020;Manual de fotografia digital;Manual com 300 páginas e exercícios por capítulo;livro;100,87;MegaOfertas SP;vendedor;2,9;2026-08-09;2026-09-22;Boa noite. O produto recebido, intitulado **Manual de fotografia digital**, apresenta características que indicam tratar-se de uma imitação da obra original, uma vez que, ao ser comparado com outro exemplar legítimo do mesmo título, foram constatadas diferenças perceptíveis na qualidade do papel e no peso do volume. O item não é autêntico, tendo sido comercializado no marketplace como se fosse um exemplar genuíno da obra. O anúncio permanece ativo na plataforma, e aguardo um posicionamento formal sobre o caso.;falsificado;urgente|produto|garantia;falsificado
R00042;C0111;padrao;P025;Máscara de cílios volume intenso;Máscara de cílios à prova d'água;maquiagem;36,62;Armazém 21;vendedor;4,7;2026-02-09;2026-04-02;O produto chegou com alguns dias de atraso e a embalagem externa apresentava amassados visíveis. Na primeira vez que fui utilizá-lo, percebi que o botão principal já estava afundado, sem funcionar corretamente. Entrei em contato com o vendedor há mais de uma semana relatando o ocorrido e solicitando a troca, mas até o momento não recebi nenhuma resposta. Obrigado pela atenção.;divergente_defeito;ajuda|produto|compra;divergente_defeito
R00107;C0099;padrao;P020;Manual de fotografia digital;Manual com 300 páginas e exercícios por capítulo;livro;77,99;Loja do Edu;vendedor;4,9;2026-05-23;2026-06-08;Bom dia. Recebi o livro e percebi imediatamente que a qualidade da impressão, das costuras e das cores do logotipo não correspondem ao produto original, que já tive em mãos anteriormente. Trata-se claramente de um item falsificado, e ao verificar as avaliações da Loja do Edu, constatei que outros compradores relatam exatamente o mesmo problema. Obrigado pela atenção.;falsificado;compra|ajuda|atendimento|cadastro;falsificado
R00178;C0009;padrao;P017;Guia prático de horta urbana;Guia ilustrado de cultivo em pequenos espaços, 240 páginas;livro;76,52;Livraria Página Dez Oficial;loja_oficial;3,7;2026-04-21;2026-05-07;o app trava toda vez que tento gerar a etiqueta de postagem do guia prático de horta urbana, ja fiz isso umas 5 vezes e nao consigo, o livro ta aqui parado sem eu poder mandar de volta;devolucao_ressarcimento;produto|ajuda|pedido|cadastro;devolucao_ressarcimento
R00164;C0034;padrao;P005;Pelúcia dinossauro Rex 40 cm;Pelúcia antialérgica com enchimento siliconado;brinquedo;69,83;ToyMundo Oficial;loja_oficial;2,7;2026-04-02;2026-04-05;Efetuei a compra da dinossauro Rex no dia 02/04 e, dentro do prazo legal de 7 dias previsto pelo Código de Defesa do Consumidor, desejo cancelar o pedido e receber o produto de volta ao vendedor. Gostaria de saber como proceder para iniciar esse processo. Obrigado.;devolucao_ressarcimento;urgente|atendimento|ajuda;devolucao_ressarcimento
R00100;C0077;padrao;P004;Blocos de montar Cidade 350 peças;Kit de blocos plásticos compatíveis com as principais marcas;brinquedo;92,54;Estoque Livre;vendedor;3,5;2026-08-10;2026-09-16;Recebi os blocos enviados pelo vendedor e, ao abrir a embalagem, percebi que o produto não correspondia ao que eu conhecia da marca. A embalagem em si já chamou atenção, diferente do padrão que o anúncio mostrava, mas o que mais me surpreendeu foram os materiais e o acabamento, nitidamente distintos do que se espera do fabricante. Comparando com referências que tenho do item legítimo, ficou claro que o que chegou até mim não saiu das linhas de produção originais. Tentei registrar tudo em fotos para anexar à reclamação, mas não encontrei no site onde enviar esse tipo de arquivo. Também busquei as diretrizes da plataforma sobre o assunto, sem sucesso. Agradeço desde já pela atenção.;falsificado;urgente|problema|compra;falsificado
R00003;C0060;padrao;P007;Patinete infantil dobrável;Patinete de 3 rodas com altura ajustável, até 50 kg;brinquedo;198,31;Ponto Baixo Preço;vendedor;3,0;2026-01-22;2026-02-16;faz 25 dias que paguei e o patinete tá no mesmo ponto desde então, parado no centro de distribuição sem nenhuma movimentação. abri o rastreamento hoje de manhã e a situação é exatamente igual à do dia que comprei. já pensei em pedir reembolso do frete por causa do atraso, mas o que eu quero mesmo é entender por que o produto não saiu do lugar em quase um mês. alguém consegue me explicar o que tá acontecendo?;devolucao_ressarcimento;produto|compra|urgente|garantia;entrega
R00086;C0114;premium;P013;Cadeira gamer ErgoMax;Cadeira reclinável com apoio lombar, até 120 kg;game;720,90;Bazar da Serra;vendedor;3,2;2026-01-11;2026-02-02;Recebi a entrega da cadeira vendida pelo Bazar da Serra, porém a caixa chegou completamente vazia. Trata-se de uma situação inadmissível e solicito o bloqueio do vendedor e o reembolso integral do valor pago. Aguardo retorno.;entrega;pagamento|urgente|problema|produto;fraude_vendedor
